parameter_name,parameter_number,preset_name,parameter_value,mean,std
lfo_2_destination,33,FantasyPad,0.0,0.0,0.0
lfo_1_phase,34,FantasyPad,0.0,0.0,0.0
lfo_2_phase,35,FantasyPad,0.0,0.0,0.0
osc_2_fm,36,FantasyPad,0.0,0.0,0.0
osc_2_phase,37,FantasyPad,0.0,0.0,0.0
osc_2_pw,38,FantasyPad,0.5,0.5,0.05
osc_2_phase,39,FantasyPad,0.5,0.5,0.05
transpose,40,FantasyPad,1.0,1.0,0.1
free_ad_attack,41,FantasyPad,0.0,0.0,0.0
free_ad_decay,42,FantasyPad,0.0,0.0,0.0
free_ad_amount,43,FantasyPad,0.0,0.0,0.0
free_ad_destination,44,FantasyPad,0.0,0.0,0.0
lfo_1_sync,45,FantasyPad,0.0,0.0,0.0
lfo_1_keytrigger,46,FantasyPad,0.0,0.0,0.0
lfo_2_sync,47,FantasyPad,0.0,0.0,0.0
lfo_2_keytrigger,48,FantasyPad,0.0,0.0,0.0
portamento_amount,49,FantasyPad,0.0,0.0,0.0
portamento_mode,50,FantasyPad,0.0,0.0,0.0
voices,51,FantasyPad,0.800000011920929,0.800000011920929,0.0800000011920929
velocity_volume,52,FantasyPad,0.0,0.0,0.0
velocity_contour,53,FantasyPad,0.0,0.0,0.0
velocity_filter,54,FantasyPad,0.0,0.0,0.0
pitchwheel_cutoff,55,FantasyPad,0.0,0.0,0.0
